SSID;Name;idp;Date_Creation;lat;long;status;type of site;exact location
BGI_S106;;;;;;;;
BGI_S107;;;;;;;;
BGI_S108;;;;;;;;
BGI_S109;;;;;;;;
BGI_S110;;;;;;;;
BGI_S104;Sanctuaire du Benzvi;;;;;;school;5eme
BGI_S108;Centre d'Accueil Soeur Catholique;;;;;;church/mosque/religious institution/ parish;2eme
BGI_S111;ND Chartres;;;;;;church/mosque/religious institution/ parish;6eme
BGI_S112;Ecole Koudoukou;;;;;;school;3eme
BGI-S113;Marché Yaloa;;;;;;Private;3eme
BGI_S114;Eglise Apostolique Gbere;;;;;;church/mosque/religious institution/ parish;8eme
